cve_id,server_id,software_id,software_version,severity,applied_date,applied_by,window_start,window_end,duration_hours,status,notes
CVE-2025-10702,Srv_DEV_001,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_01,2025-12-22T00:00:00,2025-12-22T02:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_DEV_001, 120h-122h, Team: [Tech_01, Tech_02])"
CVE-2025-10702,Srv_DEV_005,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_04,2025-12-22T00:00:00,2025-12-22T02:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_DEV_005, 120h-122h, Team: [Tech_04, Tech_05])"
CVE-2025-10702,Srv_DEV_006,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_06,2025-12-22T00:00:00,2025-12-22T02:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_DEV_006, 120h-122h, Team: [Tech_06, Tech_07])"
CVE-2025-10702,Srv_UAT_010,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_08,2025-12-22T00:00:00,2025-12-22T02:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_UAT_010, 120h-122h, Team: [Tech_08, Tech_09])"
CVE-2025-10702,Srv_PROD_014,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_01,2025-12-18T00:00:00,2025-12-18T02:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_PROD_014, 24h-26h, Team: [Tech_01, Tech_02])"
CVE-2025-10702,Srv_PROD_016,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_05,2025-12-18T00:00:00,2025-12-18T02:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_PROD_016, 24h-26h, Team: [Tech_05, Tech_06])"
CVE-2025-10702,Srv_PROD_017,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_07,2025-12-18T00:00:00,2025-12-18T02:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_PROD_017, 24h-26h, Team: [Tech_07, Tech_08])"
CVE-2025-10702,Srv_UAT_023,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_01,2025-12-22T02:00:00,2025-12-22T04:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_UAT_023, 122h-124h, Team: [Tech_01, Tech_02])"
CVE-2025-10702,Srv_DEV_024,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_04,2025-12-22T02:00:00,2025-12-22T04:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_DEV_024, 122h-124h, Team: [Tech_04, Tech_05])"
CVE-2025-10702,Srv_DEV_029,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_06,2025-12-22T02:00:00,2025-12-22T04:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_DEV_029, 122h-124h, Team: [Tech_06, Tech_07])"
CVE-2025-10702,Srv_UAT_031,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_08,2025-12-22T02:00:00,2025-12-22T04:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_UAT_031, 122h-124h, Team: [Tech_08, Tech_09])"
CVE-2025-10702,Srv_PROD_035,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_09,2025-12-18T00:00:00,2025-12-18T02:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_PROD_035, 24h-26h, Team: [Tech_09, Tech_10])"
CVE-2025-10702,Srv_UAT_039,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_01,2025-12-22T04:00:00,2025-12-22T06:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_UAT_039, 124h-126h, Team: [Tech_01, Tech_02])"
CVE-2025-10702,Srv_PROD_040,SQL Server,2019,High,2025-12-17T21:30:30.656701,Tech_01,2025-12-18T02:00:00,2025-12-18T04:00:00,2,SCHEDULED,"Agendado: PatchTask(CVE-2025-10702 @ Srv_PROD_040, 26h-28h, Team: [Tech_01, Tech_02])"
